,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,price_predicted
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8,5,1,9233.507422080802
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,7,2,2,786.9885478078832
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4,1,1,1963.2146681469458
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,2,4,1,6555.808286180554
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,6,2,1,990.2002217651025
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,4,6,2,624.6338582635199
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,3,4,1,514.3909775773882
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,3,2,4,6215.030972509653
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,5,5,1,939.9926931560349
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,3,1,1,740.4028537266586
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,7,3,1,4374.235407487884
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,4,4,2,329.741620190257
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,4,2,2,1526.1671792515717
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,3,2,3,1093.820674531802
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,5,7,1,1400.9581486756979
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,8,3,1,771.8673580817667
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,7,4,1,1246.5578765146183
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,4,3,1,804.4191733263942
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,5,5,3,4593.123915546769
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2,4,2,2455.8039998683507
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2,2,2,1949.2190318331013
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,4,7,3,651.1478458888105
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3,4,3,2362.3225407242226
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,4,1,3,3075.5026712668678
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,5,5,3,4468.563392290499
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,3,3,2184.215310606119
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,4,5,2,10013.916212302705
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,3,3,3,10520.44968706525
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,5,3,1,981.0826282889684
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,4,4,2,6115.0651145187185
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,2,6,2,16261.472896415771
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,6,3,1,8480.984870956894
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,4,1,1,1049.806874210517
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3,3,1,2310.282392580926
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,4,2,4,6595.85855455091
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,4,6,3,5377.209033955867
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4,6,1,5143.257250075587
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,4,2,3,2894.3712537086685
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,3,3,2,5052.890540606071
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,4,5,1,10331.938574463815
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,6,4,1,1122.6378874034435
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,4,7,3,599.3766272205376
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,2,3,600.5853044413107
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,4,4,1,355.06489876943397
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,4,2,2,3093.2986524775006
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,6,4,1,842.449271185742
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,2,5,2,5263.952616824818
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,4,2,1,1521.2903108680275
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,1,4,4,3133.111423017256
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,4,2,2,1581.5961708715877
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,6,3,3,620.7528552603326
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,3,3,5,827.3810297595446
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,5,1,3,9094.741805408648
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,5,4,2,187.57937107629823
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,5,7,1,888.2108868700361
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,5,7,1,8525.346261879095
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,2,3,2,4769.8170968346585
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,6,4,3,642.5744843293742
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,8,4,1,1185.3021216705238
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4,2,1,6819.608297925897
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,3,7,2,4424.873978195633
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,7,3,3422.969858546131
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,4,2,2,3268.6137592858104
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,6,5,3,555.9500227197695
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,2,4,1,4740.432497985736
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,5,3,1,3840.4646748357936
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,4,1,1,1103.0294853394662
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,3,6,1,1230.0337024440796
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,4,2,1,1611.047634552815
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,2,3,2,4511.481047881372
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4,5,2,5037.480469251869
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4,5,2,5267.8750758071355
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,5,2,4,3572.6320546300303
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,2,5,2,4013.3333356291773
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,3,1,4,437.6030501961977
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,5,3,1,10370.533686879766
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,5,1,1,858.7700545286825
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,3,4,2,5042.310072259999
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6,2,3,8816.509024878875
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,8,3,3,604.01024179261
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,5,1,3,669.977917599037
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,6,3,1,2266.1535852641846
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3,4,1,4055.8896608788473
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,7,4,1,4076.893029270339
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3,2,3,3495.18128668017
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,3,5,1,5003.970203971711
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,4,2,3,2956.6320039110688
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,3,3,1,833.2502592760375
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,4,2,1,756.2696406220457
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,2,1,5,11057.080724883945
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,3,4,1,5986.960436129009
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,3,1,1,1555.977343278064
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,5,4,3,82.89050255300754
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,5,4,2,12816.859345017645
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,2,5,5,11790.187469715496
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,5,5,2,428.320256542047
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1,4,3,1370.8445744757432
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,3,6,2,6078.281625352119
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,4,1,2,847.3104312564392
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,5,5,3,1583.7180777422782
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3,2,1,3641.7456653987247
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,6,4,3,907.0225145394634
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,8,5,1,833.4931682972165
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,2,6,1,5341.800040408385
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,3,3,8800.251977875858
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,5,4,1,2287.2985123843846
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,7,4,1,917.031193460045
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,6,5,1,1694.7945086697273
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,2,2,2,3909.697373634928
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,3,2,3,1241.6398732593843
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,3,5,3,4895.002173229195
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5,6,4,4850.733485337672
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,3,5,1,6632.105390026226
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,4,5,5,15030.917389513179
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4,4,1,11901.645501888182
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,6,3,12270.603161004736
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,6,3,4,616.3758011893206
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,5,4,5,2625.276741062363
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,7,4,1,4090.8518119339387
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,1,5,5,7466.027916230306
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,4,7,1,1305.6242190951525
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,5,1,1,2047.1880679061087
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,3,6,3,5687.903635338551
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,4,3,3,1247.3887901321668
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,2,3,2,9665.66745958674
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1,6,2,1037.4599568377898
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,3,5,3,10223.29109136298
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,4,1,3,6879.2394417424075
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,4,3,2,12953.094964458996
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,5,2,3,3894.548612218907
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,3,3,2,599.3528823785418
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,3,5,2,15121.997181384884
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,5,4,2,185.12928548460786
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,6,2,1,1458.6639282998767
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,6,1,1,4592.246658254126
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,3,7,2,4856.283009554799
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5,4,1,7286.858965971305
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1,3,1,1894.980552760719
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,3,3,2,1279.3994749592184
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,2,5,2,4697.208961422672
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,2,2,2,3729.3163248198725
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,4,3,2,3327.3257944300403
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2,3,4,614.6857232793764
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,4,4,3,3064.15158507226
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3,4,2,3499.158388742486
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,3,4,1,5199.730417105138
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2,5,2,2883.5814448805527
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,4,4,2,6870.872387711044
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3,2,1,2444.043154090745
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5,4,2,6871.639553334717
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,1,2,2,2855.78876939897
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,1,3,2,3662.114118535913
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,2,5,2,13557.24716278604
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,7,3,1,825.7968090020477
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4,6,5,2719.5960903782016
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,5,2,1,3754.411787981995
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,4,4,1,14617.33951534448
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3,5,1,3061.378396438995
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,7,6,4,3043.5955880150195
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,4,4,1,932.9746881862602
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,4,4,1,463.182531596286
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,4,3,2,882.0823057002672
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,4,6,3,7057.8707750204885
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,3,4,2,12048.03322432786
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,3,3,2,5085.139824395292
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,3,1,4,923.3235798490896
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3,2,2,2523.079815223855
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5,4,1,6773.9224537535865
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2,7,4,2379.1445192423125
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,7,3,1,846.1551958832279
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,7,4,1,819.7564973296285
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3,4,3,2170.8487283719896
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,8,5,2,6498.303219683878
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,5,3,8008.867798529758
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5,1,3,6117.564815688736
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,6,3,4,341.64674149120765
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,6,2,4,464.3386961153792
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,6,3,1,802.4601956861115
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,1,3,2382.8785330517676
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,8,4,3,1044.577133539391
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,4,2,1,885.4811306611573
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,6,7,2,3595.353332773955
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,2,1,1,1264.5488513675464
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,1,3,2,6845.805921903565
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,3,2,4,747.8485731133114
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,5,2,1,3762.989557063409
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,4,5,4,1243.4019779328992
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,2,3,2,4528.820225583863
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,4,3,1,824.7943008462826
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,3,4,4,4576.489924698028
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,3,2,4,7429.331297791859
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3,6,3,3879.625387260601
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,4,4,1,6849.329548706086
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3,4,4,3416.061700362221
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,4,2,1,1871.4402357792133
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3,3,3,3003.481211835997
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,3,1,1,667.3902598246295
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,4,5,1,3371.12254029891
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,3,5,2,6182.224942759257
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,5,7,3,8485.836296818517
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,6,5,1,8032.399026107239
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3,3,1,2646.8483704002247
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,4,6,1,1253.9273829526192
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,5,2,1,1515.8315107084036
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,8,4,1,1297.8760254262033
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,4,3,3,673.6773921837339
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2,3,1,1245.5800794506586
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3,3,2,2397.409963347285
